Distance,Time
0,0
50,27.36
100,57.7
150,87.94
200,118.57
250,149.18
300,179.75
350,210.35
400,240.9
450,271.52
500,302.2
550,332.76
600,363.21
650,393.52
700,423.88
750,454.19
800,484.63
850,515.08
900,545.47
950,575.7
1000,606.13
1050,636.3
1100,666.34
1150,696.27
1200,726.13
1250,756.19
1300,786.08
1350,815.92
1400,845.71
1450,874.6
1500,902.4
